city,state_code,github_events_2016,github_avg_price_2016,github_artists_2016,github_total_tickets_2016,github_sellout_rate_2016,year
Atlanta,GA,182,447.61934065934065,175,44197,0.0,2016
Austin,TX,130,467.3493846153846,122,21508,0.0,2016
Boston,MA,195,623.8516666666667,175,60868,0.0,2016
Chicago,IL,235,2439.775914893617,208,87386,0.0,2016
Dallas,TX,194,546.6844845360824,190,47403,0.0,2016
Denver,CO,153,352.66189542483664,139,21303,0.0,2016
Houston,TX,135,330.62040740740747,130,21375,0.0,2016
Los Angeles,CA,293,552.5544197952219,254,45853,0.0,2016
Miami,FL,54,1680.4775925925924,50,33290,0.0,2016
Miami,OK,1,165.035,1,2,0.0,2016
Miami Beach,FL,48,159.84364583333334,48,1838,0.0,2016
Miami Gardens,FL,3,545.7583333333333,3,531,0.0,2016
Nashville,TN,323,380.6799845201238,181,44993,0.0,2016
New York,NY,383,668.9594908616187,298,103551,0.0,2016
Oakland,CA,43,821.3536046511629,40,13831,0.0,2016
Philadelphia,PA,196,3055.820867346939,183,58452,0.0,2016
Portland,ME,55,245.4920909090909,54,2991,0.0,2016
Portland,OR,152,343.1753947368421,148,14041,0.0,2016
San Francisco,CA,195,179.69220512820513,176,14674,0.0,2016
Seattle,WA,156,648.4244551282051,153,33833,0.0,2016
